url,mkd,uis,fin,gov,agdp,enc,cor,dig,open,fdi,epu,wpu,cpu,tce
0.516,11.0876,6.343155,0.665422,0.055004185,14.7756,0.02727021,0.039,144.96,0.049955131,0.551695,106.2334968,0,64.74577466,0.1953101
0.5242,11.6769,6.358968,0.6935563,0.058859595,14.6518,0.02846287,0.066,155.1,0.061073131,0.64016,95.48683697,0.15,48.68357734,0.2078714
0.90612,13.2321,7.092486,4.356008,0.195293428,14.5645,0.02817305,0.034,290.8380341,0.784878889,2.4242,390.3879721,17.23,687.6163291,0.1177937
0.755,12.365,6.819128,3.021541,0.103391901,14.5556,0.02164581,0.572,208.81,1.175038571,2.351415,129.3138679,0.12,44.28451654,0.107479
0.8049,14.8326,7.147297,3.574552,0.135608265,14.5545,0.1089328,0.376,281.6395568,0.150416076,11.6179,363.3586174,0.07,512.8383186,0.3990301
0.6208,7.22314,6.540976,1.298315,0.069984603,14.5395,0.01669482,0.04,109.67,0.258773876,1.37464,124.3355367,0,104.5081246,0.1091853
0.775,18.259,7.127382,3.517213,0.150186482,14.3157,0.05740074,0.123,274.4001315,0.765123071,0.640745,363.3586174,0.07,512.8383186,0.1051022
0.892,12.8384,6.745203,3.954937,0.151792148,14.2739,0.01973969,0.098,284.9147586,1.070436965,0.129995,363.3586174,0.07,512.8383186,0.05475702
0.5138,10.2402,6.339501,0.6241397,0.057484623,14.2067,0.02578185,0.035,98.25,0.044314684,0.462585,124.3355367,0,104.5081246,0.178405
0.8606,14.9781,7.383963,3.851399,0.097199628,14.1933,0.1385283,0.18,232.6376403,0.439397222,5.55877,129.3138679,0.12,95.03284876,0.5554368
0.758,14.1009,6.695374,2.623073,0.094462336,14.1258,0.02927315,0.304,206.26,0.503436205,1.46681,129.3138679,0.12,44.28451654,0.1474738
0.8229,16.4022,7.052492,4.674694,0.119503888,14.1103,0.07668835,0.224,244.3819146,0.352640939,3.54409,206.6387024,0.1,95.03284876,0.2355557
0.768,14.5697,6.86005,5.311385,0.119015504,14.1088,0.08206306,0.289,285.4320327,0.402133929,4.27164,206.6387024,0.1,290.3845297,0.3141714
0.718,16.2653,7.052032,2.696747,0.083101405,14.0517,0.1447242,0.25,260.3414875,0.318960989,5.25346,206.6387024,0.1,290.3845297,0.4340861
0.86501,13.05056056,7.610253,7.346247,0.226545037,14.0211,0.3806922,0.06,269.9032542,0.900073976,20.82045,277.8131221,0.02,290.3845297,1.328845
0.804,15.1423,6.877367,5.513368,0.125840168,14.018,0.1052151,0.151,302.9827188,0.387429823,4.17506,277.8131221,0.02,512.8383186,0.3265096
0.7956,12.5602,7.107975,3.490339,0.120958684,13.9877,0.05990912,0.032,266.268476,0.172772259,6.076815,363.3586174,0.07,512.8383186,0.1488052
0.8543,13.8585,7.318697,3.597805,0.083797712,13.7967,0.1191046,0.151,181.96,0.480102714,4.95546,95.48683697,0.15,48.68357734,0.5056521
1,9.70528,7.188367,3.380062,0.117239762,13.6948,0.1355729,0.041,181.14,2.295611564,5.348665,106.2334968,0,64.74577466,0.5507767
