TCE,url,mkd,uis,hcl,fin,gov,agdp,enc,mar,cor,gtfp,gtec,dig,fte,open,fdi,epu,wpu,cpu
6.486843769,2.097921564,-1.095307596,2.864160192,0.474138727,2.01176094,-0.037771187,0.37398,4.865819774,1.622608882,-0.367487627,-0.019484551,5827,1.97882835,1.268452977,4.856858479,2.674404405,-0.607868303,-0.351553632,0.6651851
6.719413722,2.095486343,-0.889291443,2.873132669,0.445863375,2.020497363,0.063441006,0.4038703,5.297702691,0.165226762,-0.419000794,0.001472856,7017,-1.399325431,1.324738082,4.475413269,2.893355642,-0.620543064,-0.351553632,0.0813397
7.095258418,2.102652852,-0.642198736,2.891381235,0.432814842,2.020251889,0.115070729,0.4333546,5.921747843,-0.13561695,-0.277339586,0.03114313,9612,-0.596351325,1.428967593,4.207305751,3.21934596,-0.788696378,-0.351553632,0.0936121
7.430632013,2.109610628,-0.395686785,2.928179088,0.416489868,2.005262866,0.08534381,0.4682034,6.433929482,0.154015674,0.212035494,0.034865132,12114,0.035506734,1.571151118,3.607308491,3.440985484,-0.888524159,-0.322387124,0.0318051
7.820472908,2.117194604,-0.216223474,2.998215297,0.403702755,2.348663209,0.496080232,0.5016134,7.331072088,0.236144642,-0.315974461,0.068151669,13657,0.206622781,1.662599385,2.426352467,4.43293908,-0.919853157,-0.275720713,0.0068379
8.251726566,2.116637982,-0.022041481,3.056720008,0.412112725,2.681460482,0.576931912,0.5617383,8.371900302,-0.426544327,0.109009161,4.838414843,16844,0.667364794,1.759260812,1.950216169,5.317443255,-0.574298392,-0.328220426,0
8.294765217,2.113089516,0.209982095,3.082463469,0.398889849,2.608936946,0.465916689,0.6172127,8.946073953,0.177607882,0.147644036,4.827460315,19545,0.973261516,1.793227258,2.129255342,7.831311233,0.1439868,-0.332109294,0.0788836
8.366466947,2.116568404,0.459289609,3.10256841,0.37432622,2.645837702,0.453635674,0.6748505,9.673821924,0.215234276,-0.200069837,0.18660014,24051,1.364297426,1.862675501,2.553018116,8.781154983,0.805139611,-0.347664764,0.3825398
8.673407798,2.123456603,0.666742899,3.167538625,0.386105715,2.512013783,0.242651571,0.798219,10.33512241,0.513686932,-0.483392251,4.848724364,23469,1.590952952,1.918574835,2.234134788,6.537140473,1.599788095,-0.337942595,0.7283237
8.718153634,2.188094343,0.865410318,3.222157095,0.396273347,2.285375769,0.089944711,0.8016566,10.37914086,0.614802397,-0.264461295,9.40875789,16335,1.823488427,1.963987718,1.63938038,5.850008041,1.850868946,2.998705811,1
3.949709498,1.699032258,-0.840869809,1.179442523,0.711830455,0.008931204,-0.392208649,0.3922471,2.315434076,-1.035038334,0.75292374,0.047257705,1023,1.464323326,1.192660127,1.452838954,5.336762547,-0.607868303,-0.351553632,0.6651851
4.061408111,1.772088907,-0.611008572,1.207441392,0.750205154,0.026892671,-0.350618038,0.433149,2.514524639,-1.135450263,0.482479617,0.109125408,1474,-1.502784151,1.251764642,1.365685941,5.771573047,-0.620543064,-0.351553632,0.0813397
4.371911015,1.804094678,-0.426887964,1.267334047,0.747834262,0.061574274,-0.22803491,0.4662097,2.846453292,-1.412656978,0.881706655,0.121338226,2091,-0.903074282,1.342510014,1.322552725,6.608433318,-0.788696378,-0.351553632,0.0936121
4.619323985,1.822880673,-0.189015534,1.33838519,0.824142851,0.070139098,-0.092716703,0.4951082,3.04531905,-0.960595886,2.890720141,0.141079638,2228,-0.373067533,1.311994244,1.212793582,7.462483545,-0.888524159,-0.322387124,0.0318051
4.593432371,1.847928667,0.046196217,1.460937713,0.812976058,0.125563816,0.015395861,0.509131,3.116980385,-0.301145522,1.190785653,0.156210843,3182,-0.163812043,1.474636662,0.884302575,8.417459884,-0.919853157,-0.275720713,0.0068379
