tce,url,mkd,uis,fin,gov,agdp,enc,cor,dig,open,fdi,epu,wpu,cpu
0.05063583,0.4845,10.6255,6.668271,2.526214,0.158866627,3.5691,0.008669109,0.054,252.8280509,0.262497198,0.60195,125.7,0,472.2192815
0.05458972,0.4967,10.8259,6.649893,2.60544,0.175535603,3.7804,0.009181847,0.045,56.1,0.244440682,0.61495,124.3355367,0,96.61290641
0.0652558,0.5081,11.0125,6.598246,2.79655,0.171122995,3.9889,0.01072718,0.06,95.14,0.231724065,0.6831,106.2334968,0,104.5081246
0.07269017,0.5202,11.4319,6.583265,3.03481,0.174997083,3.9282,0.01301652,0.115,135.52,0.220778441,0.77518,95.48683697,0.15,64.74577466
0.08318578,0.5407,11.8053,6.592442,3.136532,0.183935255,4.0746,0.01532755,0.613,149.98,0.229322992,0.836665,92.11420781,0.39,48.68357734
0.09331373,0.5613,11.9731,6.560478,3.079387,0.185274391,4.3586,0.01708864,0.106,177.04,0.214747428,0.8828,129.3138679,0.12,44.28451654
0.09889686,0.5788,12.5446,6.551137,3.758087,0.173294053,4.8539,0.02202977,0.092,199.4240172,0.100070244,0.963175,206.6387024,0.1,95.03284876
0.1076991,0.5942,13.4247,6.596252,3.811018,0.192393172,5.238,0.02669441,0.076,225.2251163,0.215846151,1.06531,277.8131221,0.02,290.3845297
0.1099343,0.6072,14.2812,6.630281,3.384058,0.198511166,5.1334,0.02807275,0.07,232.6747301,0.222531017,1.154505,363.3586174,0.07,512.8383186
0.1085958,0.64013,15.1227,6.68309,3.615358,0.20168466,5.3821,0.02902077,0.069,242.4089133,0.212988018,1.20036,390.3879721,17.23,687.6163291
0.05930048,0.4658,9.0471,6.309971,1.443541,0.118320706,3.027,0.008009781,0.131,244.122814,0.089093036,0.65546,125.7,0,472.2192815
0.06317729,0.4658,10.0294,6.316988,1.509668,0.125649326,3.265,0.009884665,0.096,45.38,0.077646416,0.72783,124.3355367,0,96.61290641
0.1017501,0.4791,10.2577,6.338913,1.690472,0.12085579,3.08,0.01708637,0.128,76.76,0.073027668,0.841985,106.2334968,0,104.5081246
0.1351672,0.4913,10.4867,6.360435,1.894847,0.129869708,3.2943,0.02218934,0.329,116.1,0.071280288,0.904585,95.48683697,0.15,64.74577466
0.133777,0.5138,11.3922,6.40361,2.095982,0.165319209,3.345,0.022144,0.13,130.39,0.058712183,0.872835,92.11420781,0.39,48.68357734
0.1434886,0.5353,11.6229,6.447597,2.264951,0.157686003,3.5265,0.02436447,0.244,156.09,0.050210807,0.920915,129.3138679,0.12,44.28451654
0.1621229,0.5531,12.2302,6.539854,4.454679,0.162744524,3.8585,0.0391812,0.245,185.7012151,0.10406329,1.05697,206.6387024,0.1,95.03284876
0.1805517,0.5687,12.964,6.655004,4.641663,0.193297783,3.6289,0.05456917,0.195,211.0590964,0.042060221,1.10349,277.8131221,0.02,290.3845297
0.1963313,0.5815,13.6188,6.670565,2.868464,0.200803213,3.6546,0.05884398,0.212,217.7212749,0.053815261,1.15319,363.3586174,0.07,512.8383186
0.2024935,0.58342,13.8222,6.655808,3.040476,0.21723588,3.8623,0.06050559,0.182,229.8959666,0.058212369,1.19178,390.3879721,17.23,687.6163291
0.05462693,0.41287,7.9235,6.166968,1.939615,0.146964141,2.0027,0.01022708,0.09,243.5903278,0.098537031,0.0161,125.7,0,472.2192815
0.05277222,0.42719,8.27049,6.168204,2.019973,0.163178988,2.1361,0.01001826,0.075,41.46,0.072104621,0.057925,124.3355367,0,96.61290641
0.05096154,0.442,8.32694,6.178529,2.226428,0.162036171,2.103,0.009823795,0.097,80.22,0.07067133,0.279755,106.2334968,0,104.5081246
