url,mkd,uis,fin,gov,agdp,enc,cor,dig,open,fdi,epu,wpu,cpu,tce
0.5118,14.1223,6.605179,2.469441,0.14402059,3.5358,0.01984019,0.014,234.1622111,0.159777538,0.016455,277.8131221,0.02,512.8383186,0.04948529
0.6077,13.6805,6.446374,1.096642,0.167134136,3.535,0.003573855,0.043,249.7964494,0.072567975,0.77258,125.7,0,472.2192815,0.01888297
0.4395,11.2358,6.231652,2.950665,0.275062806,3.5335,0.003570876,0.015,184.7884627,0.005657793,0.012715,129.3138679,0.12,95.03284876,0.01590526
0.4423,9.71916,6.232646,1.485769,0.161909032,3.5326,0.008995825,0.056,162.87,0.020207465,0.55342,92.11420781,0.39,44.28451654,0.0443493
0.5976,13.1003,6.570206,2.110821,0.157969565,3.5324,0.009594675,0.055,146.55,0.044320456,0.299435,95.48683697,0.15,48.68357734,0.04796301
0.504,12.6278,6.105428,2.294445,0.238960382,3.5301,0.006939284,0.054,196.1439232,0.108948932,0.19386,129.3138679,0.12,95.03284876,0.03425088
0.53903,14.2281,6.747849,3.397397,0.386637798,3.5294,0.01681212,0.122,229.299771,0.057499613,0.03006,390.3879721,17.23,687.6163291,0.01702142
0.5353,11.6229,6.447597,2.264951,0.157686003,3.5265,0.02436447,0.244,156.09,0.050210807,0.920915,129.3138679,0.12,44.28451654,0.1434886
0.472,11.7211,6.385519,2.747841,0.27605245,3.5262,0.009531142,0.014,222.9305801,0.006732995,0.023965,363.3586174,0.07,687.6163291,0.03340939
0.34735,12.0914,6.453629,6.282975,0.222731618,3.5254,0.009338736,0.066,185.4419757,0.152763209,0.07588,206.6387024,0.1,95.03284876,0.04699267
0.4525,8.40341,6.359148,1.440073,0.128361824,3.521,0.02698946,0.203,132.53,0.051149595,0.40448,95.48683697,0.15,48.68357734,0.1276008
0.5095,15.4692,6.454032,9.599927,0.258844831,3.5202,0.02458031,0.06,221.0670784,0.223635277,0.808235,277.8131221,0.02,512.8383186,0.01765049
0.5025,16.5427,6.509727,1.990741,0.178642189,3.5184,0.02799235,0.072,215.2277548,0.166335259,0.657865,277.8131221,0.02,512.8383186,0.06869526
0.5204,12.1153,6.323339,1.361946,0.177514793,3.5181,0.006316322,0.045,279.2320562,0.109073463,1.6878,125.7,0,472.2192815,0.03240968
0.4607,12.797,6.448448,1.974845,0.358331323,3.5181,0.006185754,0.016,216.0822817,0.02138172,0.03534,363.3586174,0.07,687.6163291,0.0361943
0.475,9.89649,6.117202,1.35683,0.183463095,3.5166,0.002540017,0.02,82.51,0.023860696,0.22909,106.2334968,0,104.5081246,0.01254196
0.563,10.7365,6.616246,4.387341,0.151806902,3.5133,0.01419073,0.042,109.56,0.104578676,0.265705,124.3355367,0,104.5081246,0.06620885
0.24186,12.989,5.858846,4.291237,0.41882495,3.5124,0.006849074,0.022,227.1335776,0.078485341,0.00098,390.3879721,17.23,687.6163291,0.03602085
0.5592,16.3156,6.503213,5.80682,0.329357682,3.5123,0.01572985,0.087,187.1338482,0.025290194,0.43484,206.6387024,0.1,95.03284876,0.07645044
0.60769,12.9029,6.926628,3.095646,0.526618694,3.5113,0.007586115,0.07,225.4300301,0.032156291,0.0885,390.3879721,17.23,687.6163291,0.03352357
0.4991,12.1742,6.894623,2.102016,0.316776483,3.5108,0.004548283,0.026,207.4901681,0.044311707,0.002665,363.3586174,0.07,512.8383186,0.02277942
0.8538,8.8916,5.692185,2.791214,0.564061241,3.5069,0.002518354,0.017,146.02,0.019400653,0.02842667,92.11420781,0.39,48.68357734,0.02388655
0.5373,13.5574,6.522679,1.776223,0.168305167,3.5063,0.008010361,0.052,133.5,0.142366987,0.18052,106.2334968,0,64.74577466,0.03930569
0.6076,13.6038,6.571172,2.20455,0.1709649,3.5057,0.01013042,0.048,168.8,0.047251742,0.209505,92.11420781,0.39,44.28451654,0.04978643
0.5172,13.1618,6.624728,1.93415,0.12885876,3.5032,0.02818346,0.194,136.99,0.185680232,0.324485,95.48683697,0.15,48.68357734,0.1533644
0.5002,9.63415,6.728149,2.441469,0.200779694,3.5029,0.005012806,0.12,132.94,0.00816787,0.3976,92.11420781,0.39,48.68357734,0.03541042
0.5838,17.2976,6.685065,4.531802,0.393269293,3.5025,0.02284532,0.058,220.2188222,0.030308477,0.452565,363.3586174,0.07,512.8383186,0.09095035
0.4416,7.51815,6.357725,1.238108,0.097400434,3.4905,0.006826257,0.053,37.77,0.088800678,0.19033,125.7,0,96.61290641,0.04350167
